c instance by G2
c solution = 111100001100111110101011101011
c Known solution cost is 62 
p cnf 30 60
w 1 2 4 4 4 0 0 0 2 0 2 4 4 1 3 4 2 2 3 1 0 2 4 0 2 4 3 0 3 1
-14 10 -29 0
8 14 18 0
7 4 -21 0
1 -11 -25 0
-16 19 -21 0
27 -9 21 0
-22 -27 -29 0
-23 -19 -11 0
-1 15 -29 0
24 -9 -25 0
7 28 29 0
7 -9 -6 0
-6 28 -19 0
9 23 -10 0
13 11 -27 0
-2 9 -4 0
-9 -17 16 0
30 -13 -23 0
-3 -16 1 0
24 8 -21 0
-11 23 17 0
-23 -24 16 0
25 -16 23 0
20 18 -8 0
12 11 -20 0
-2 -24 -12 0
-28 -27 -1 0
20 13 11 0
28 3 -26 0
21 -22 -29 0
22 3 -21 0
25 7 18 0
-15 17 7 0
-13 20 21 0
23 28 12 0
-10 -8 -3 0
-7 -24 -30 0
-17 30 -9 0
21 9 16 0
23 -10 -2 0
-11 27 -2 0
11 27 -29 0
6 -23 -26 0
9 22 -16 0
14 -4 -15 0
5 -28 -1 0
-21 -20 2 0
28 -24 17 0
24 -23 -22 0
-4 25 -29 0
29 -7 -9 0
-27 -23 2 0
22 -1 25 0
8 5 -18 0
-19 18 15 0
20 -28 -27 0
-28 4 -21 0
-19 26 -18 0
-5 22 -30 0
2 17 23 0
