c instance by G2
c solution = 100001000000100010011011000011
c Known solution cost is 70 
p cnf 30 60
w 2 1 3 3 1 4 2 3 3 0 3 4 4 2 3 4 3 1 1 4 3 3 3 3 1 1 3 1 0 1
1 -19 21 0
26 -18 27 0
22 -27 25 0
-5 -29 4 0
-25 16 19 0
6 7 -21 0
9 -12 5 0
13 7 15 0
25 -17 -26 0
12 -4 -20 0
28 -29 -10 0
4 14 -9 0
25 30 24 0
27 -3 28 0
30 4 14 0
-4 -3 29 0
-21 7 -22 0
-15 3 5 0
-8 24 22 0
-8 -19 -3 0
12 -27 28 0
23 -29 25 0
9 13 18 0
17 -9 -24 0
-29 18 -16 0
-13 21 -29 0
13 -2 -21 0
-10 -1 -7 0
8 29 28 0
-15 -27 -2 0
4 26 -22 0
20 -13 27 0
-19 26 8 0
-5 23 18 0
18 30 7 0
22 -28 -21 0
-18 -12 -8 0
-14 19 10 0
-23 -6 17 0
-14 8 -17 0
16 -1 24 0
-1 18 -16 0
-8 7 -6 0
1 16 2 0
15 -8 -13 0
12 13 -2 0
15 21 -18 0
28 -1 -25 0
3 -19 -25 0
27 -12 10 0
-5 -29 -9 0
25 -23 6 0
25 -16 17 0
-4 -6 -5 0
-11 -26 -20 0
9 -23 -11 0
-2 14 27 0
-13 -25 -15 0
9 23 28 0
-7 28 25 0
