c instance by G2
c solution = 100101111100011011100101110000
c Known solution cost is 61 
p cnf 30 60
w 0 1 2 4 1 4 0 3 2 2 1 3 3 3 1 4 1 0 0 4 4 4 4 1 1 0 2 3 2 1
5 30 8 0
-18 12 -28 0
-13 29 -7 0
14 -1 5 0
21 22 -10 0
-15 5 9 0
8 18 25 0
-25 26 5 0
-25 16 -27 0
-25 20 4 0
3 -10 -27 0
-27 29 26 0
-1 -24 -29 0
-15 -19 -5 0
7 27 14 0
-11 -7 20 0
-15 10 28 0
-24 10 12 0
-29 26 -20 0
-22 30 4 0
-6 -20 -30 0
-29 22 -24 0
15 9 -11 0
-15 23 26 0
-20 -7 -1 0
17 -9 21 0
-23 20 12 0
-1 -15 -11 0
26 5 -9 0
7 13 -10 0
23 22 -1 0
1 16 -9 0
3 5 -12 0
-30 20 -4 0
-7 2 -16 0
29 24 28 0
4 -8 -26 0
-17 -21 23 0
10 -6 5 0
-4 1 23 0
19 30 27 0
-17 -6 26 0
14 -17 -1 0
-20 3 29 0
-26 8 21 0
15 5 13 0
16 -15 -30 0
25 -19 -6 0
-27 -18 20 0
-1 26 -30 0
6 29 -8 0
-7 -20 9 0
1 30 -7 0
-14 2 6 0
-2 -18 -25 0
-3 -6 16 0
18 -14 20 0
-3 -16 4 0
-29 8 -13 0
-24 2 18 0
