c instance by G2
c solution = 100000100101001010011101110000
c Known solution cost is 59 
p cnf 30 60
w 2 4 0 4 1 1 0 3 1 4 2 4 3 0 2 1 1 1 0 2 2 2 3 2 4 2 2 3 1 2
-18 21 -13 0
4 27 21 0
4 5 -27 0
-22 -17 -19 0
-1 24 4 0
8 -3 30 0
-14 -20 4 0
-12 2 -29 0
3 20 13 0
21 29 16 0
8 -7 -9 0
25 -16 -19 0
19 -10 -8 0
-26 28 -11 0
-14 -8 6 0
-17 15 -22 0
26 30 22 0
-10 -28 23 0
-24 -2 14 0
-20 -16 17 0
22 -9 26 0
28 -8 11 0
14 13 12 0
-9 -28 8 0
23 -20 -28 0
-6 18 -16 0
-16 -10 13 0
10 -15 -21 0
-20 -21 -6 0
-25 -23 16 0
29 -30 -24 0
-8 11 19 0
-4 -20 8 0
-2 -15 20 0
17 -15 4 0
22 4 6 0
16 -20 -5 0
-2 7 26 0
17 -25 5 0
2 24 -13 0
20 -10 13 0
26 30 21 0
25 30 -12 0
-10 -8 6 0
26 -17 -21 0
27 15 3 0
23 6 -18 0
-29 23 30 0
-5 7 28 0
-10 -8 -14 0
20 27 -12 0
25 -17 -8 0
-17 -6 -24 0
1 -21 -10 0
5 -15 -13 0
18 7 -10 0
-3 -9 -17 0
-27 23 1 0
22 -18 21 0
28 12 -14 0
