c instance by G2
c solution = 110110010011100001011001101100
c Known solution cost is 67 
p cnf 30 60
w 2 2 2 2 3 0 0 1 1 1 4 2 4 1 1 3 3 4 3 0 0 1 4 4 4 3 4 3 2 3
23 21 -10 0
-22 12 -16 0
8 3 -21 0
-10 -2 -1 0
-1 -21 24 0
-17 5 24 0
-21 11 -18 0
21 -14 -22 0
10 -22 29 0
-9 -1 -11 0
10 27 29 0
-2 12 22 0
26 -24 2 0
-14 -13 -21 0
27 -18 7 0
13 22 1 0
27 1 -3 0
10 -7 4 0
-21 -7 -18 0
2 20 -9 0
-25 16 21 0
12 23 -20 0
-6 -11 3 0
14 27 16 0
25 -20 -27 0
6 -19 -27 0
23 22 12 0
20 10 19 0
9 5 -15 0
-24 28 30 0
-26 23 -21 0
-5 -16 -2 0
26 -27 4 0
-19 22 25 0
-24 -18 -17 0
-22 -27 -28 0
6 10 1 0
8 -28 13 0
-28 20 27 0
-29 16 30 0
3 -8 -30 0
23 14 18 0
23 -1 5 0
-28 -1 -16 0
7 17 2 0
-9 24 8 0
-8 -16 28 0
13 -2 3 0
29 22 4 0
25 -9 -24 0
15 11 -28 0
-15 -5 -21 0
26 22 -6 0
-21 18 29 0
-4 20 10 0
16 -4 -23 0
-3 7 -21 0
-28 14 -23 0
3 7 -29 0
15 28 21 0
