c instance by G2
c solution = 101000111100010101010001100101
c Known solution cost is 61 
p cnf 30 60
w 4 4 1 2 3 3 0 1 1 4 1 2 2 4 0 0 0 2 2 2 4 0 1 1 1 1 3 4 4 4
-6 24 9 0
12 11 25 0
-11 26 -8 0
19 -18 20 0
29 -14 -12 0
-30 -15 -17 0
30 -24 -8 0
-2 -1 14 0
14 -2 -27 0
-22 15 -18 0
12 -15 5 0
4 13 28 0
-21 30 -17 0
-2 15 26 0
11 -6 5 0
-13 -30 11 0
5 24 6 0
30 9 22 0
29 24 23 0
-26 11 -8 0
-3 -13 27 0
-30 -16 -17 0
-12 -29 8 0
-28 -2 1 0
19 12 -5 0
6 15 1 0
12 30 -3 0
-19 -8 4 0
3 -11 26 0
-18 14 -9 0
22 -29 5 0
-17 22 26 0
16 27 22 0
-16 -12 -11 0
-30 8 21 0
21 29 -2 0
9 -16 5 0
20 -23 -12 0
-8 10 21 0
-10 7 -5 0
13 3 -14 0
-21 -30 -23 0
2 -17 8 0
-24 -11 -2 0
-7 6 14 0
-2 -20 -22 0
-26 -16 4 0
29 18 -8 0
16 -18 9 0
16 12 20 0
-17 13 -20 0
1 12 -14 0
-1 -13 26 0
19 27 7 0
19 13 25 0
-3 -23 17 0
12 -8 -21 0
-27 11 -10 0
-15 22 -1 0
29 -4 -16 0
