c instance by G2
c solution = 010100011011110110011011111010
c Known solution cost is 62 
p cnf 30 60
w 0 2 3 0 1 3 3 4 4 2 1 2 3 4 2 0 1 2 1 2 2 1 4 3 3 4 0 3 0 2
-23 12 -4 0
18 25 -12 0
27 5 -21 0
-21 25 8 0
11 -14 -2 0
23 22 -13 0
-27 15 20 0
7 -30 -14 0
-9 17 -29 0
23 -24 -16 0
20 -2 10 0
-30 -10 28 0
19 -9 29 0
21 25 20 0
28 -26 13 0
-3 -17 -16 0
-25 -26 2 0
-20 -27 29 0
28 16 -23 0
-2 -26 24 0
-7 -16 -21 0
-24 30 17 0
-10 -17 -29 0
-20 -22 -27 0
-17 2 19 0
12 15 21 0
3 14 30 0
-6 -2 -12 0
23 -3 8 0
-2 27 7 0
16 -23 15 0
7 4 -16 0
-21 17 -10 0
30 -24 16 0
1 -24 -28 0
-26 11 -20 0
3 -4 13 0
4 -7 13 0
-14 9 12 0
-8 -10 -19 0
14 4 5 0
-26 19 -18 0
24 -3 8 0
9 22 -2 0
12 -17 6 0
-2 21 7 0
-21 5 8 0
-7 -21 15 0
3 -8 -19 0
15 26 -29 0
10 5 -22 0
14 -11 10 0
-21 -15 22 0
-20 -23 -19 0
-17 -1 -25 0
1 -5 28 0
8 15 5 0
-25 -26 -28 0
10 21 6 0
-9 12 10 0
