c instance by G2
c solution = 001100100001111011000111011110
c Known solution cost is 71 
p cnf 30 60
w 3 0 4 4 0 4 3 1 4 3 3 2 4 4 0 3 1 4 2 2 3 3 0 0 2 1 3 4 2 2
23 2 -6 0
1 -11 4 0
-19 3 -26 0
-23 16 -30 0
11 5 -6 0
-3 -16 -26 0
8 -16 26 0
-28 -2 -19 0
-27 -28 -11 0
-6 5 21 0
6 29 26 0
-24 -13 -10 0
-2 -3 -4 0
10 11 -5 0
17 -7 -18 0
-8 4 -29 0
21 26 -18 0
-15 3 11 0
7 -22 25 0
29 2 12 0
-25 -26 8 0
5 4 -24 0
28 -13 30 0
6 -27 -20 0
12 -9 -28 0
21 -23 27 0
-8 10 -22 0
-5 -12 3 0
12 -27 4 0
-1 2 -25 0
-27 -29 -8 0
16 -26 23 0
14 10 21 0
-14 -19 -17 0
-9 30 -18 0
-13 23 -6 0
-10 23 16 0
11 -12 15 0
1 -18 17 0
4 -11 29 0
-12 -30 9 0
-12 11 13 0
-20 10 -1 0
-17 6 29 0
4 -18 8 0
21 22 6 0
-22 -19 10 0
-10 -2 1 0
-28 12 -3 0
1 26 -2 0
9 -11 25 0
-27 14 -2 0
22 -7 -12 0
8 -25 -28 0
-28 20 -21 0
-22 -20 -12 0
-1 16 8 0
-14 6 -10 0
-7 18 2 0
25 24 6 0
