c instance by G2
c solution = 110111100001110111110101011011
c Known solution cost is 63 
p cnf 30 60
w 0 2 2 0 3 4 2 3 2 2 1 3 4 2 3 3 1 0 4 0 2 3 0 2 2 0 3 4 4 2
-27 26 -12 0
26 -2 -16 0
9 -4 -23 0
11 12 -24 0
-18 -30 6 0
21 7 -22 0
25 -2 16 0
-5 -3 -23 0
27 -12 -1 0
4 -7 9 0
-14 -26 12 0
-30 29 -14 0
10 18 23 0
5 -12 -13 0
-27 16 -12 0
-1 22 25 0
-14 -22 7 0
-12 22 16 0
-13 25 -11 0
2 -6 28 0
-9 -17 -12 0
-18 -15 -19 0
-6 -25 -29 0
12 -16 -6 0
30 -10 -6 0
-16 27 -17 0
-19 -29 -28 0
27 -9 -21 0
-10 -22 -29 0
11 -12 -8 0
17 11 -18 0
-11 8 -16 0
12 8 11 0
-19 7 4 0
-5 -17 6 0
-14 26 -29 0
14 -26 19 0
13 23 -6 0
-28 26 -18 0
1 7 17 0
3 -5 7 0
-15 23 30 0
-19 20 25 0
-19 2 -29 0
-27 13 21 0
15 7 -28 0
19 -16 9 0
15 -21 -26 0
-27 -21 17 0
21 -23 15 0
-26 -22 14 0
-8 20 -3 0
-3 10 -19 0
14 28 9 0
-26 -20 1 0
-12 19 20 0
25 30 -18 0
-20 24 8 0
6 -7 8 0
21 -19 -25 0
