c instance by G2
c solution = 001111111011001111100001110101
c Known solution cost is 70 
p cnf 30 60
w 2 1 3 1 3 1 4 0 4 4 1 4 3 2 1 3 2 3 4 4 0 3 3 3 4 1 2 1 3 0
-23 21 5 0
-23 21 -26 0
27 -21 28 0
-18 -25 5 0
19 -9 -24 0
8 -24 6 0
1 2 4 0
-17 -25 6 0
10 -15 7 0
29 -22 4 0
-30 -13 3 0
-29 -4 -26 0
17 8 21 0
-28 -8 17 0
25 19 -22 0
18 -24 23 0
-9 -30 8 0
-15 -13 2 0
-29 19 25 0
3 -4 -21 0
14 11 -25 0
-7 10 9 0
24 20 21 0
-18 -13 14 0
-8 18 -11 0
-28 29 -10 0
-7 -27 20 0
-3 -21 -16 0
10 16 1 0
-8 -7 -14 0
29 -1 -17 0
-26 25 16 0
-23 27 13 0
-3 30 19 0
10 8 14 0
3 -15 -28 0
6 -22 -4 0
26 -4 -19 0
-15 23 25 0
-25 -22 -26 0
21 -3 -14 0
-3 -28 -20 0
-7 -24 12 0
10 -26 18 0
-19 23 30 0
-13 10 -23 0
-2 -6 29 0
-6 25 -7 0
21 -17 15 0
-17 11 -30 0
-21 30 -19 0
-8 18 -30 0
-5 21 28 0
-14 -10 -24 0
25 -9 -3 0
5 13 -28 0
8 2 -19 0
11 -22 16 0
17 24 -21 0
12 -29 3 0
