c instance by G2
c solution = 010011101000010010011111111100
c Known solution cost is 58 
p cnf 30 30
w 1 0 3 3 0 4 2 1 3 1 1 1 2 2 1 3 3 0 3 4 1 3 2 0 4 1 4 4 0 1
24 16 -6 0
-28 2 4 0
18 -2 25 0
-5 -11 -17 0
-3 -23 -21 0
-14 -24 -29 0
-26 19 -8 0
-23 -16 -28 0
15 13 20 0
-2 14 -20 0
-18 15 -28 0
-9 11 17 0
-25 -28 21 0
-24 -9 7 0
8 26 -25 0
23 8 18 0
-25 -7 27 0
22 -28 -14 0
-28 13 9 0
16 -12 1 0
-20 16 28 0
-17 5 -28 0
-9 -21 -13 0
15 -25 -1 0
6 -20 10 0
-27 -10 -28 0
13 -2 -4 0
4 -19 -21 0
-21 15 -30 0
-27 -15 -25 0
