c instance by G2
c solution = 000100000001101001110111000110
c Known solution cost is 49 
p cnf 30 30
w 2 4 1 4 1 2 0 1 1 4 0 2 2 3 2 2 0 0 4 0 1 0 4 2 1 2 1 0 2 1
-28 29 -13 0
-24 17 -3 0
24 17 9 0
2 -18 -10 0
-23 5 15 0
21 -19 22 0
-22 3 12 0
21 -1 -13 0
2 7 19 0
18 -28 -29 0
-17 3 10 0
-13 -4 -6 0
10 -15 -9 0
-14 27 -23 0
-16 8 27 0
-24 23 -29 0
25 27 -8 0
9 -4 20 0
-15 25 -21 0
10 -4 28 0
-27 7 -23 0
3 -11 16 0
-18 -22 -2 0
17 -30 8 0
14 -23 4 0
11 -18 -25 0
-28 -19 13 0
7 -26 21 0
-7 3 -22 0
-24 -5 25 0
