c instance by G2
c solution = 011001010011011110100100111101
c Known solution cost is 67 
p cnf 30 30
w 4 4 3 1 4 3 3 0 2 3 0 0 4 4 2 1 0 3 2 4 2 1 2 1 1 3 1 4 4 1
25 -27 10 0
18 -29 21 0
-25 -18 29 0
10 28 20 0
-10 -6 -14 0
-28 9 26 0
-20 -27 -15 0
1 -19 -7 0
-4 29 -14 0
11 -12 -30 0
13 29 19 0
-28 2 -30 0
-15 17 -26 0
23 -24 -2 0
-27 15 7 0
-8 1 30 0
29 27 -17 0
-25 -21 -16 0
23 -28 3 0
13 -1 7 0
29 -5 20 0
-25 -11 6 0
-13 7 -26 0
-26 8 10 0
-3 -11 22 0
-12 -8 -9 0
12 13 18 0
-8 -23 5 0
14 9 4 0
-15 16 21 0
