c instance by G2
c solution = 110000110111011110011111100000
c Known solution cost is 61 
p cnf 30 30
w 0 3 4 4 3 3 4 0 0 2 4 3 2 0 2 0 2 1 4 4 0 1 3 3 0 3 2 1 3 0
7 4 -24 0
2 -8 18 0
-15 -8 11 0
-24 27 16 0
-22 23 -15 0
-4 -7 -1 0
-1 10 -24 0
5 27 1 0
-11 -12 -27 0
-2 24 -23 0
-6 4 -21 0
-20 -7 8 0
3 -26 29 0
-20 -11 17 0
-5 -2 -16 0
-10 20 -21 0
-19 4 6 0
-25 26 -28 0
25 -1 -17 0
3 -23 -9 0
26 21 -1 0
-30 -20 -11 0
-22 -29 -20 0
-7 -15 -13 0
-3 4 -23 0
14 9 -25 0
-2 27 22 0
-15 12 -7 0
-12 15 -10 0
-1 27 -18 0
