c instance by G2
c solution = 111010010011101100010100010110
c Known solution cost is 56 
p cnf 30 30
w 1 1 2 4 3 2 1 1 1 4 1 4 2 0 2 0 3 2 1 2 3 3 2 0 4 0 1 1 4 1
14 -30 -13 0
-27 9 -29 0
2 -1 -28 0
-3 19 15 0
11 -22 17 0
-22 18 8 0
-15 -20 22 0
-25 9 4 0
21 25 -6 0
-15 20 23 0
27 7 29 0
3 -2 18 0
9 -14 -11 0
7 27 -4 0
-3 14 13 0
4 -2 -17 0
-22 -2 5 0
30 -10 18 0
-24 17 19 0
17 16 -15 0
-8 17 12 0
28 -16 30 0
19 7 -9 0
-2 -22 -18 0
1 27 -2 0
-13 7 -19 0
7 -20 26 0
-23 -15 -3 0
-7 4 17 0
-1 -21 18 0
