c instance by G2
c solution = 101111000011010100101101010011
c Known solution cost is 70 
p cnf 30 30
w 4 4 0 3 3 2 0 2 0 4 2 0 4 0 0 4 4 4 1 3 1 3 2 4 2 3 4 2 1 4
-14 -30 5 0
10 29 -6 0
2 9 6 0
-29 -24 26 0
-12 -24 21 0
-12 28 -7 0
-28 9 -30 0
-4 -20 9 0
15 23 11 0
17 -8 9 0
28 12 -14 0
-29 25 14 0
-6 7 30 0
20 7 -10 0
-25 -5 20 0
-5 -23 -1 0
7 19 13 0
-13 -19 -30 0
-30 10 22 0
-5 -9 -22 0
16 20 -4 0
-27 18 -11 0
-19 1 10 0
-4 -17 -21 0
-18 27 -4 0
-15 -24 -14 0
-16 -2 -24 0
9 -14 4 0
20 24 -1 0
-11 8 3 0
