c instance by G2
c solution = 010101101001101010110001001011
c Known solution cost is 73 
p cnf 30 30
w 0 1 2 3 4 3 3 0 4 2 4 3 1 3 4 4 0 3 0 0 3 4 3 1 3 4 3 3 2 3
-5 11 25 0
-23 28 -17 0
14 28 -22 0
11 -10 22 0
9 -15 -4 0
-20 5 -21 0
20 25 -7 0
10 26 13 0
-7 -27 4 0
11 -3 26 0
22 -11 -6 0
-24 7 -9 0
-12 29 -9 0
-2 -17 6 0
-12 -25 -4 0
-30 19 26 0
-17 -29 2 0
-27 12 -30 0
-2 -8 -27 0
-18 10 8 0
-27 -14 -29 0
-15 25 24 0
26 30 1 0
3 17 14 0
-28 18 -12 0
8 -2 -1 0
-26 -2 -15 0
-29 18 -16 0
11 27 -9 0
1 -2 15 0
