c instance by G2
c solution = 000111011001110111101001100011
c Known solution cost is 45 
p cnf 30 30
w 3 2 0 2 1 0 0 1 1 1 3 3 4 0 2 0 2 1 1 3 0 0 3 1 2 3 2 2 1 1
-29 18 15 0
10 3 -7 0
12 10 -21 0
7 -23 -5 0
-4 -17 24 0
-27 -24 -12 0
30 -16 -24 0
-24 -11 -9 0
28 -12 29 0
-20 3 -24 0
27 -2 -12 0
-5 -26 1 0
15 28 9 0
-5 16 -19 0
3 22 8 0
-4 15 13 0
-14 5 -24 0
-3 23 -6 0
-21 27 6 0
-28 -6 -8 0
-25 21 -24 0
-12 25 -18 0
-17 19 -18 0
-5 23 -22 0
14 -21 -24 0
1 27 17 0
22 -10 -25 0
-1 2 26 0
4 7 2 0
-6 27 -15 0
