c instance by G2
c solution = 001001000110011100010001101110
c Known solution cost is 59 
p cnf 30 30
w 1 3 3 0 1 1 1 1 3 4 4 4 4 4 0 3 2 2 3 3 3 1 1 2 0 2 0 1 2 0
-24 -23 -20 0
-13 -28 -3 0
2 18 -17 0
12 8 -26 0
-25 -2 -16 0
18 8 -9 0
6 -27 22 0
13 17 -12 0
-19 1 -20 0
20 -24 21 0
30 -7 -24 0
22 30 10 0
7 -27 15 0
1 -18 -15 0
-8 -15 4 0
-11 25 -10 0
-29 -28 -22 0
22 28 18 0
-21 23 2 0
-4 8 23 0
-30 8 12 0
29 4 7 0
7 22 11 0
-10 3 -20 0
1 -25 27 0
-5 22 -10 0
12 7 14 0
-1 21 5 0
5 2 16 0
24 1 7 0
