c instance by G2
c solution = 111010111000000101110110100101
c Known solution cost is 65 
p cnf 30 30
w 4 1 1 2 1 4 3 0 3 2 3 2 1 2 4 3 1 4 1 4 0 0 2 4 3 0 1 4 2 3
21 16 -19 0
-23 -18 -12 0
-4 -8 6 0
-6 14 17 0
29 -27 -1 0
-2 -11 21 0
28 -1 -22 0
24 -20 1 0
-17 -18 14 0
13 -8 30 0
13 -7 -10 0
-18 8 6 0
-16 -26 13 0
-29 15 14 0
-9 -14 6 0
-3 -8 25 0
-16 -1 -13 0
-18 23 -25 0
-9 -3 19 0
29 -15 13 0
-3 -21 -8 0
12 20 -9 0
17 -20 22 0
10 6 5 0
3 4 14 0
18 -9 10 0
-5 10 9 0
-16 2 13 0
-24 -8 21 0
-19 29 7 0
