c instance by G2
c solution = 011100101100001100111101111101
c Known solution cost is 57 
p cnf 30 45
w 3 3 0 0 1 0 0 3 2 0 2 2 4 4 0 3 3 1 4 1 4 0 0 4 3 0 3 4 0 3
23 25 1 0
-14 -22 -15 0
-28 23 24 0
-24 -20 10 0
26 22 -16 0
5 -16 4 0
27 23 1 0
-14 10 8 0
22 -25 -7 0
20 8 -22 0
-20 -18 1 0
28 -27 12 0
26 1 18 0
-4 -25 -8 0
-7 -1 23 0
-28 1 19 0
29 -17 -27 0
-22 14 28 0
2 14 -3 0
-13 1 -4 0
-15 26 17 0
-16 2 1 0
11 1 16 0
-27 17 15 0
8 21 -20 0
10 15 -18 0
-3 13 -11 0
-12 -27 -25 0
-11 28 -3 0
12 -23 -25 0
-3 -24 -6 0
-12 -22 14 0
-5 -30 14 0
30 -26 17 0
22 -16 -6 0
11 -3 28 0
-3 -22 4 0
1 7 -10 0
21 -25 -3 0
18 3 -25 0
-29 23 5 0
8 22 -30 0
8 -28 9 0
7 -4 11 0
-5 2 -15 0
