c instance by G2
c solution = 100101100011111100010101111101
c Known solution cost is 65 
p cnf 30 45
w 2 1 0 2 2 4 3 3 1 1 0 2 2 3 2 4 2 3 3 4 4 3 0 4 2 2 0 3 1 2
-23 19 17 0
5 4 -16 0
-22 30 -12 0
21 -8 -14 0
-1 -26 16 0
4 -26 -6 0
15 -26 -10 0
-6 -3 -1 0
-9 -15 18 0
-30 -22 15 0
17 -24 -21 0
21 -6 -5 0
14 8 -12 0
-15 -24 -17 0
24 -4 -14 0
12 3 -16 0
-10 -11 2 0
-19 -13 -18 0
11 2 -6 0
-11 -12 -5 0
-19 -28 -24 0
-27 -23 22 0
7 -8 -16 0
-27 -18 -1 0
29 -20 22 0
6 -8 -4 0
-13 -6 7 0
23 25 9 0
13 -11 18 0
-12 3 26 0
-1 9 20 0
5 -27 -9 0
-4 -7 -2 0
-29 18 24 0
23 1 16 0
-29 26 21 0
26 6 7 0
-13 -6 15 0
3 19 27 0
19 8 28 0
28 15 -24 0
15 12 9 0
1 18 -22 0
-1 -29 18 0
23 6 29 0
