c instance by G2
c solution = 111000100011101001000111010110
c Known solution cost is 61 
p cnf 30 45
w 3 1 3 4 2 3 2 1 4 1 2 1 2 0 2 0 4 3 0 0 4 2 2 1 2 0 3 2 4 3
-25 -1 -22 0
5 11 9 0
-12 29 21 0
18 6 25 0
23 -15 -28 0
24 30 14 0
-20 9 14 0
2 11 16 0
-4 -2 6 0
30 -10 6 0
21 26 -22 0
2 16 -20 0
-9 17 25 0
17 -26 -19 0
-26 13 -22 0
-16 -18 -2 0
15 -18 8 0
-28 -4 27 0
13 -28 22 0
22 -29 -15 0
1 22 -18 0
-14 23 -12 0
-30 21 -2 0
-26 1 21 0
-1 7 4 0
-12 28 -29 0
5 -14 8 0
7 -2 -11 0
-10 -25 -11 0
-20 -17 10 0
-11 10 2 0
-8 -15 -26 0
30 19 -14 0
6 4 -19 0
-12 -29 13 0
-2 25 -16 0
-27 14 21 0
14 -5 -2 0
-3 -21 30 0
-12 14 -17 0
3 30 -22 0
-13 -6 20 0
-23 -25 3 0
20 -4 -26 0
16 12 -2 0
