c instance by G2
c solution = 110111110110000110101100110100
c Known solution cost is 61 
p cnf 30 45
w 3 2 0 1 0 4 0 3 3 0 3 2 2 0 4 4 3 4 3 3 1 1 2 4 1 0 0 2 4 2
-29 30 -8 0
-7 -6 19 0
-23 13 24 0
20 5 24 0
14 -11 8 0
-12 13 -7 0
25 -22 -26 0
29 -7 25 0
30 5 -2 0
10 9 -1 0
29 1 13 0
-2 9 6 0
29 -5 11 0
17 30 25 0
18 -20 29 0
19 -26 -25 0
-30 23 -22 0
14 30 2 0
-9 3 14 0
22 -6 -11 0
-24 -25 6 0
21 7 20 0
-15 23 9 0
28 22 -16 0
-26 -17 7 0
-20 -15 13 0
9 4 15 0
-7 -11 26 0
-5 22 -16 0
-28 18 -3 0
23 17 12 0
-16 -24 -1 0
-4 -8 28 0
-19 -4 11 0
-11 21 30 0
15 12 -18 0
-2 -16 26 0
-2 -21 -27 0
-23 -13 26 0
-13 -22 18 0
11 -17 -7 0
16 -8 -26 0
-22 -6 -14 0
-21 -27 28 0
-25 -21 16 0
