c instance by G2
c solution = 100011111111101010011110110000
c Known solution cost is 63 
p cnf 30 45
w 0 1 0 4 1 3 0 4 1 3 2 2 4 0 3 2 2 1 2 0 1 4 2 3 1 4 3 2 4 4
25 2 -8 0
28 15 -17 0
-12 5 -6 0
-9 -13 6 0
-30 27 16 0
20 30 19 0
-27 -9 24 0
-10 7 -6 0
22 -23 -7 0
-7 -23 11 0
22 27 -16 0
-28 4 -6 0
-4 -23 -20 0
30 9 -23 0
16 -15 23 0
-8 -20 13 0
-22 26 -21 0
-2 4 -22 0
-10 -8 1 0
18 -9 -29 0
-16 2 18 0
-1 8 14 0
-30 19 4 0
11 -30 -5 0
16 19 -24 0
21 -3 4 0
7 14 -25 0
14 -1 17 0
-25 5 -16 0
14 2 -19 0
15 12 -24 0
-20 21 4 0
-1 8 18 0
10 -21 -22 0
3 29 -18 0
23 13 9 0
-14 -10 19 0
11 14 -3 0
-11 26 -3 0
-22 12 -21 0
7 -13 -30 0
14 2 13 0
4 1 30 0
16 -10 7 0
-7 -5 -3 0
