c instance by G2
c solution = 010011001011000010100100001010
c Known solution cost is 61 
p cnf 30 45
w 3 2 0 0 2 1 4 0 0 0 2 3 4 4 2 0 4 1 2 4 4 1 2 0 2 3 4 4 0 3
-2 9 25 0
13 2 10 0
-4 -22 -25 0
1 -19 -26 0
28 24 -13 0
-3 -1 -9 0
14 21 -24 0
-11 4 -10 0
15 28 6 0
23 -6 -24 0
-13 -22 -20 0
14 -4 21 0
4 26 11 0
7 23 17 0
25 -23 -30 0
22 18 10 0
-19 15 -20 0
26 7 27 0
-2 15 -30 0
10 -12 29 0
-3 20 12 0
7 -5 -1 0
-27 12 24 0
4 22 3 0
-13 8 1 0
7 -8 10 0
-17 -14 -11 0
6 18 -12 0
25 8 -3 0
-25 20 15 0
27 -14 25 0
-6 -21 7 0
19 13 3 0
-29 -13 -8 0
-7 25 14 0
21 22 -8 0
3 -4 -25 0
-15 -27 -6 0
-28 -27 8 0
-23 -22 13 0
23 -16 28 0
27 -4 9 0
11 9 1 0
-27 -18 13 0
25 28 5 0
