c instance by G2
c solution = 011101101111000000000000000111
c Known solution cost is 55 
p cnf 30 45
w 3 1 2 1 1 2 3 0 2 0 2 1 2 3 3 0 0 2 1 4 0 3 4 2 3 2 2 2 2 2
9 22 -11 0
25 17 -8 0
20 -26 -30 0
-6 -10 -22 0
-22 6 -3 0
-25 -2 -28 0
-2 -11 -26 0
5 -16 -2 0
26 19 -22 0
24 -27 21 0
-28 -30 -15 0
26 7 22 0
25 29 -30 0
12 -3 -2 0
24 -14 -2 0
-28 13 -5 0
21 30 4 0
5 -7 28 0
-9 -10 -18 0
19 30 -6 0
-11 24 2 0
-19 -4 -29 0
-8 -14 15 0
-20 -18 -8 0
11 19 15 0
15 10 26 0
-15 -6 27 0
4 -14 -11 0
-29 13 30 0
17 6 18 0
-12 8 11 0
-26 -16 30 0
-24 8 -7 0
23 -1 -9 0
-7 -20 -24 0
27 -7 -17 0
-20 14 16 0
8 -23 -30 0
14 10 -24 0
23 3 13 0
-6 4 20 0
-21 5 24 0
-24 8 26 0
-7 25 -13 0
26 -14 -8 0
