c instance by G2
c solution = 010011011101100101110000101000
c Known solution cost is 67 
p cnf 30 45
w 1 1 2 3 4 1 4 3 3 3 4 2 4 2 3 2 4 1 3 3 0 3 4 3 1 0 0 2 0 1
-13 -10 18 0
-28 -1 -24 0
5 -4 11 0
-18 5 21 0
29 -9 -1 0
-19 23 2 0
19 -5 30 0
-22 -10 24 0
-28 4 -25 0
20 22 -6 0
-25 -23 10 0
6 14 17 0
24 -4 -20 0
-18 3 16 0
7 -16 -29 0
-4 15 -11 0
-22 -16 4 0
-27 -9 -11 0
-15 28 -25 0
-12 -22 -19 0
-20 16 -14 0
-7 -20 4 0
4 18 21 0
-13 -23 14 0
8 24 3 0
15 -6 25 0
-5 3 27 0
-2 19 -23 0
6 7 1 0
16 5 -3 0
-24 -22 2 0
-17 22 -8 0
-26 -9 4 0
-18 22 12 0
11 13 -19 0
17 10 30 0
21 4 -14 0
14 19 -4 0
-30 -2 4 0
-19 -23 -30 0
-27 -10 -21 0
-16 26 9 0
23 -2 -24 0
-7 -4 -20 0
29 -3 -25 0
