c instance by G2
c solution = 001010110011100001110101101011
c Known solution cost is 69 
p cnf 30 45
w 3 4 4 4 3 3 0 3 0 2 3 2 4 4 0 3 1 4 0 4 2 1 4 0 0 1 1 1 4 4
-24 -18 3 0
-24 5 4 0
-25 -9 23 0
23 -19 -1 0
-26 -3 -10 0
17 -28 10 0
-20 -30 -21 0
3 19 -18 0
-26 -17 -7 0
-17 15 -23 0
-23 6 1 0
12 22 -29 0
21 -13 -26 0
25 27 -23 0
14 -10 -20 0
-24 -7 -16 0
-12 10 18 0
9 12 -8 0
-3 -25 19 0
-5 -25 -10 0
6 8 -20 0
16 22 17 0
11 -24 21 0
-9 -24 -12 0
-8 -24 -6 0
-11 2 20 0
-25 7 -24 0
27 8 16 0
-23 4 6 0
-25 2 -4 0
-1 14 -13 0
-17 -23 18 0
-18 -19 13 0
-15 17 -25 0
24 9 -7 0
25 -11 28 0
-25 -24 -14 0
27 -18 28 0
-27 -26 16 0
23 19 26 0
-17 -3 -29 0
-2 -29 -22 0
-18 29 10 0
26 2 -4 0
21 15 30 0
