c instance by G2
c solution = 101000110000111
c Known solution cost is 82
p cnf 15 45
w 9 7 9 0 9 8 1 9 6 1 6 7 2 1 7
14 -3 1 0
-7 10 14 0
8 9 -11 0
-12 13 -9 0
4 6 3 0
-11 4 5 0
-3 14 1 0
-4 -14 -7 0
3 -5 2 0
11 15 5 0
-2 -7 -1 0
11 15 6 0
-15 -5 -1 0
15 -9 -6 0
-12 -8 -9 0
-1 -7 -10 0
1 -2 -4 0
-11 8 -10 0
1 -15 -3 0
-2 -12 13 0
4 15 5 0
-1 3 2 0
-8 10 -6 0
8 -3 6 0
11 2 -5 0
12 3 8 0
13 4 3 0
-13 12 14 0
-8 -9 -4 0
-14 -11 -5 0
-4 14 -7 0
-2 4 11 0
14 1 -6 0
-5 -2 -6 0
12 3 8 0
4 -11 10 0
15 2 -6 0
-7 -5 -13 0
-7 -10 6 0
1 9 15 0
-7 -6 4 0
-1 -11 -3 0
7 3 -6 0
-2 15 3 0
1 4 -12 0
