c instance by G2
c solution = 101011000110001
c Known solution cost is 56
p cnf 15 45
w 4 0 0 6 4 1 4 4 1 5 7 2 7 6 5
1 5 -8 0
-1 -15 -8 0
14 4 5 0
4 8 10 0
-14 7 -5 0
-6 3 12 0
6 -3 9 0
10 11 -13 0
11 4 10 0
-14 8 -15 0
-2 12 5 0
15 -5 -10 0
9 -4 14 0
13 -11 -12 0
6 -11 12 0
6 -8 15 0
-4 -11 13 0
-12 -3 -8 0
-8 -5 -11 0
7 4 11 0
-13 9 -6 0
5 8 -7 0
-12 -14 3 0
5 -14 -9 0
-15 5 -6 0
-14 -1 6 0
13 12 -9 0
-2 4 8 0
-15 5 9 0
7 -2 -11 0
10 11 1 0
7 8 -2 0
-8 2 -11 0
-12 -4 -15 0
-10 9 11 0
8 15 -5 0
-4 -2 -9 0
13 9 -14 0
5 12 -8 0
10 -12 -6 0
13 12 -4 0
11 -10 7 0
4 10 -7 0
11 -10 6 0
6 -7 2 0
