c instance by G2
c solution = 010110110111000
c Known solution cost is 63
p cnf 15 45
w 7 1 1 0 9 0 3 9 5 1 8 8 2 4 5
-4 3 -13 0
-11 5 -2 0
-13 -12 -6 0
-3 -2 12 0
-8 -1 -4 0
7 -14 -2 0
-14 -15 -1 0
6 14 2 0
-9 13 1 0
3 6 4 0
-6 -2 -11 0
-5 -14 1 0
-11 -4 -15 0
3 -13 -14 0
11 -1 -14 0
13 -6 9 0
-2 -10 -13 0
-1 -7 -9 0
-10 8 -5 0
-1 -15 -7 0
4 3 14 0
10 -9 1 0
5 -2 -11 0
-11 6 -14 0
4 -15 -12 0
-15 8 4 0
11 7 -5 0
8 -2 -15 0
14 2 5 0
-15 11 -9 0
4 15 -12 0
-6 5 -7 0
6 8 -2 0
14 -8 12 0
-14 3 4 0
-1 12 -11 0
2 6 4 0
14 -9 13 0
-7 -14 6 0
8 3 -7 0
10 -1 13 0
2 6 14 0
-11 9 12 0
-2 -4 -6 0
-4 -10 -3 0
